Huvudkategori	Kategori	Bolag	Timestamp
Trädgård	2325	GG	"2024-10-23 14:21:46"
Trädgård	2330	GG	"2024-10-23 14:21:46"
Trädgård	2340	GG	"2024-10-23 14:21:46"
Trädgård	2510	GG	"2024-10-23 14:21:46"
Trädgård	2515	GG	"2024-10-23 14:21:46"
Trädgård	2520	GG	"2024-10-23 14:21:46"
Trädgård	2600	GG	"2024-10-23 14:21:46"
Trädgård	2601	GG	"2024-10-23 14:21:46"
Trädgård	2605	GG	"2024-10-23 14:21:46"
Trädgård	2615	GG	"2024-10-23 14:21:46"
Trädgård	2620	GG	"2024-10-23 14:21:46"
Trädgård	2625	GG	"2024-10-23 14:21:46"
Trädgård	2699	GG	"2024-10-23 14:21:46"
Trädgård	2700	GG	"2024-10-23 14:21:46"
Trädgård	2705	GG	"2024-10-23 14:21:46"
Trädgård	2710	GG	"2024-10-23 14:21:46"
Trädgård	2799	GG	"2024-10-23 14:21:46"
Trädgård	2820	GG	"2024-10-23 14:21:46"
Trädgård	2830	GG	"2024-10-23 14:21:46"
Trädgård	2855	GG	"2024-10-23 14:21:46"
Trädgård	2910	GG	"2024-10-23 14:21:46"
Trädgård	2915	GG	"2024-10-23 14:21:46"
Trädgård	3042	GG	"2024-10-23 14:21:46"
Trädgård	3120	GG	"2024-10-23 14:21:46"
Trädgård	3200	GG	"2024-10-23 14:21:46"
Trädgård	3700	GG	"2024-10-23 14:21:46"
Trädgård	3705	GG	"2024-10-23 14:21:46"
Trädgård	3710	GG	"2024-10-23 14:21:46"
Trädgård	3715	GG	"2024-10-23 14:21:46"
Trädgård	3720	GG	"2024-10-23 14:21:46"
Trädgård	3725	GG	"2024-10-23 14:21:46"
Trädgård	3730	GG	"2024-10-23 14:21:46"
Trädgård	3735	GG	"2024-10-23 14:21:46"
Trädgård	4115	GG	"2024-10-23 14:21:46"
Trädgård	4200	GG	"2024-10-23 14:21:46"
Trädgård	4205	GG	"2024-10-23 14:21:46"
Utemarknad	2400	GG	"2024-10-23 14:21:46"
Utemarknad	2405	GG	"2024-10-23 14:21:46"
Utemarknad	2410	GG	"2024-10-23 14:21:46"
Utemarknad	2415	GG	"2024-10-23 14:21:46"
Utemarknad	2500	GG	"2024-10-23 14:21:46"
Utemarknad	2505	GG	"2024-10-23 14:21:46"
Utemarknad	4005	GG	"2024-10-23 14:21:46"
