Artikel	Lager	Bolag	Namn	Värde
1000105	404	GG	IMG	https://v.imgi.no/b3cfeaf1-59fc-4e12-8ac5-c0c61647ea06.png
1000226	404	GG	IMG	https://v.imgi.no/e71f5ff6-c789-46d0-aa56-e95189aa8cfd.jpg
1000231	404	GG	IMG	https://v.imgi.no/4b07e3ce-9ff6-4251-90bf-ad302f56b46e.jpg
1000232	404	GG	IMG	https://v.imgi.no/eeb9b98b-112c-41d9-a63a-b3c9b89c0612.jpg
1000233	404	GG	IMG	https://v.imgi.no/c897ab1a-f946-435a-a533-ad78c6e63416.jpg
1000279	404	GG	IMG	https://v.imgi.no/45a76f94-ac8d-4e9e-b08d-dc8df5c33987.jpg
1000448	404	GG	IMG	https://v.imgi.no/eba6ce4e-e0b6-45f3-8b9c-4dd5fbf53a69.jpg
1000490	404	GG	IMG	https://v.imgi.no/56a1f735-2494-41b6-82f9-4dad5c500205.jpg
1000868	404	GG	IMG	https://v.imgi.no/9c178d69-b691-492f-95bf-359c34384f50.jpg
1000875	404	GG	IMG	https://v.imgi.no/e551bee3-118d-4d33-9ca0-66cb0c094a56.jpg
1000876	404	GG	IMG	https://v.imgi.no/58fa06d6-13e4-45d1-9622-ffe1ee4551a9.jpg
1000953	404	GG	IMG	https://v.imgi.no/ba4559e5-1a6b-4bbe-a014-036e02a65065.jpg
1000956	404	GG	IMG	https://v.imgi.no/36b8db4f-f707-424e-a0c1-df82b5887c93.jpg
1000957	404	GG	IMG	https://v.imgi.no/0eb9d17c-4671-4e03-8182-4c96fd58ef96.jpg
1000968	404	GG	IMG	https://v.imgi.no/a3dc2dd2-e989-4bd1-ab96-d2b9ac6d92cb.jpg
1000970	404	GG	IMG	https://v.imgi.no/a3dc2dd2-e989-4bd1-ab96-d2b9ac6d92cb.jpg
1000973	404	GG	IMG	https://v.imgi.no/74fe49b1-f2ea-41ce-98ec-90979d99cb1e.jpg
1000974	404	GG	IMG	https://v.imgi.no/0af229ec-e4a1-4310-87e9-fa9ad8259f1f.jpg
1000975	404	GG	IMG	https://v.imgi.no/e22f97ba-aea9-4ddd-816f-22b79fca0bef.jpg
1000977	404	GG	IMG	https://v.imgi.no/ffffcf2e-bab4-49ae-a92b-67d2fb60ac40.jpg
1000978	404	GG	IMG	https://v.imgi.no/aaa7cebb-9333-4f46-9173-d08e2a24891f.jpg
1000979	404	GG	IMG	https://v.imgi.no/8812a189-c7da-4c67-a704-5f39debce99b.jpg
1000981	404	GG	IMG	https://v.imgi.no/05ad6708-16f3-4f14-839e-95bcb6e66e32.jpg
1000987	404	GG	IMG	https://v.imgi.no/b0101854-5fb8-461f-bd01-6ee795164420.jpg
1000989	404	GG	IMG	https://v.imgi.no/1fb280c3-3d88-438e-9b9e-f596d21aabfe.jpg
